Ligand SMILES,IC50 (nM),pIC50,activity_class,MolWt,TPSA,HBD,HBA,RotBonds,LogP,is_known_binder
Oc1ccc(cc1)C(=C1CCCCC1)c1ccc(\C=C\C(=O)NCCNC(=O)\C=C\c2ccc(cc2)C(=C2CCCCC2)c2ccc(O)cc2)cc1, 131,6.882728704344236,weak,692.8999999999999,98.66000000000001,4.0,4.0,11.0,9.588799999999996,False
CC1(C)Oc2ccc(CN(c3ccccc3)S(=O)(=O)c3ccc(F)cc3)cc2C=C1, 4800,5.318758762624412,weak,423.5090000000001,46.61,0.0,3.0,5.0,5.405400000000005,True
COc1cc(ccc1F)C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 10.00,8.0,strong,505.60500000000036,41.93000000000001,1.0,4.0,8.0,6.648000000000007,False
Fc1cc(Cl)cc(Oc2ccc(c(Cl)c2Br)S(=O)(=O)C(F)(F)F)c1, 23.0,7.638272163982407,strong,468.04900000000004,43.370000000000005,0.0,3.0,3.0,5.980800000000003,True
CCCS(=O)(=O)N(Cc1ccc2OC(C)(C)C=Cc2n1)c1ccccc1, 6400,5.1938200260161125,weak,372.49000000000007,59.5,0.0,4.0,6.0,4.0122000000000035,True
FCS(=O)(=O)c1ccc(Oc2cc(F)cc(Cl)c2)c(Br)c1, 560,6.251811972993799,weak,397.62399999999997,43.370000000000005,0.0,3.0,4.0,4.734600000000001,True
Fc1ccc(Br)c(F)c1[C@H]1C[C@H](Nc2nnnn12)c1cccc(Br)c1, 32,7.494850021680094,strong,471.10300000000007,55.63,1.0,5.0,2.0,4.622600000000002,True
OCCC\C(=C(/c1ccc(O)cc1)c1ccc(OCCN2CC2)cc1)c1ccccc1, 296,6.528708288941061,weak,415.5330000000002,52.699999999999996,2.0,4.0,10.0,4.8182000000000045,False
Cc1nc(SCCC(O)=O)c2cc(sc2n1)-c1ccccc1, 212,6.673664139071248,weak,330.434,63.080000000000005,1.0,5.0,5.0,4.233520000000003,True
OCCNCc1c(Br)c(Oc2cc(F)cc(Cl)c2)ccc1S(=O)(=O)C(F)(F)F, 5800,5.236572006437063,weak,506.6990000000001,75.63,2.0,5.0,7.0,4.409300000000003,True
OCCC\C(=C(/c1ccc(O)cc1)c1ccc(OCCN2CC2)cc1)c1ccccc1, 296,6.528708288941061,weak,415.5330000000002,52.699999999999996,2.0,4.0,10.0,4.8182000000000045,False
CCOc1ncc(cc1Cl)C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 203,6.692503962086787,weak,537.0750000000003,54.82000000000001,1.0,5.0,9.0,6.947400000000007,False
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(F)(F)C(O)=O)c1c(F)ccc(OCCNCCCF)c1C, 1.20,8.920818753952375,strong,521.5550000000003,77.59,3.0,4.0,11.0,4.999320000000004,False
Cc1c(C#N)c(Oc2cc(F)cc(Cl)c2)ccc1S(C)(=O)=O, 78.0,7.107905397309519,strong,339.7750000000001,67.16,0.0,4.0,3.0,3.855000000000002,True
CC(CC(O)=O)N1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1c(F)cnc(OCCN(C)CCCF)c1C, 0.900,9.045757490560675,strong,514.6170000000003,81.69,2.0,5.0,11.0,4.879820000000005,False
CC\C(=C(/c1cc2ccccc2[nH]1)c1ccc(\C=C\C(O)=O)cc1)c1ccc(OC)cc1, 30,7.522878745280337,strong,423.51200000000017,62.31999999999999,2.0,2.0,7.0,6.643400000000006,False
CC1=C([C@@H](Oc2c(O)cccc12)c1ccc(OCCN2CC(CF)C2)cc1)c1cccc(O)c1, 0.050000,10.301029995663981,strong,461.5330000000002,62.16,2.0,5.0,7.0,5.442300000000006,False
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O, 3.2,8.494850021680094,strong,272.388,40.46,2.0,2.0,0.0,3.6092000000000026,False
CC\C(=C(\CCCCCCN(C)CCCSCCCC(F)(F)C(F)(F)F)c1ccc(O)cc1)c1ccc(O)cc1, 10.0,8.0,strong,587.7390000000001,43.7,2.0,4.0,18.0,9.401999999999997,False
